交易日期,日收盘价
1996-03-12,8.39
1996-03-13,8.34
1996-03-14,8.18
1996-03-15,8.25
1996-03-18,8.61
1996-03-19,8.47
1996-03-20,8.8
1996-03-21,8.7
1996-03-22,8.75
1996-03-25,8.62
1996-03-26,8.44
1996-03-27,8.6
1996-03-28,8.32
1996-03-29,8.31
1996-04-01,8.35
1996-04-02,8.23
1996-04-03,8.3
1996-04-04,8.3
1996-04-05,8.72
1996-04-08,8.6
1996-04-09,8.53
1996-04-10,8.52
1996-04-11,8.61
1996-04-12,8.55
1996-04-15,8.43
1996-04-16,8.45
1996-04-17,8.49
1996-04-18,8.74
1996-04-19,9.27
1996-04-22,8.9
1996-04-23,9.07
1996-04-24,9.65
1996-04-25,9.06
1996-04-26,10.18
1996-04-29,10.4
1996-04-30,9.1
1996-05-02,8.7
1996-05-03,8.8
1996-05-06,9.28
1996-05-07,8.8
1996-05-09,8.7
1996-05-10,8.79
1996-05-13,8.75
1996-05-14,8.74
1996-05-15,8.92
1996-05-16,8.6
1996-05-17,8.93
1996-05-20,9
1996-05-21,8.6
1996-05-22,8.58
1996-05-23,8.2
1996-05-24,8.2
1996-05-27,7.89
1996-05-28,8.01
1996-05-29,8.04
1996-05-30,7.88
1996-05-31,8.04
1996-06-03,8.18
1996-06-04,8.19
1996-06-05,8.5
1996-06-06,8.68
1996-06-07,9
1996-06-10,9.8
1996-06-11,9.31
1996-06-12,9
1996-06-13,10.08
1996-06-14,9.9
1996-06-17,10
1996-06-18,10.6
1996-06-19,10.86
1996-06-20,10.45
1996-06-21,10.45
1996-06-24,10.27
1996-06-25,10.1
1996-06-26,10.3
1996-06-27,11.5
1996-06-28,12.2
1996-07-01,13
1996-07-02,13.14
1996-07-03,14.1
1996-07-04,14.3
1996-07-05,14.85
1996-07-08,15.1
1996-07-09,15.16
1996-07-10,14.9
1996-07-11,14.5
1996-07-12,14.5
1996-07-15,14.27
1996-07-16,15
1996-07-17,14.68
1996-07-18,15.09
1996-07-19,14.8
1996-07-22,14.6
1996-07-23,14.5
1996-07-24,14.87
1996-07-25,15.16
1996-07-26,14.81
1996-07-29,14.9
1996-07-30,14.65
1996-07-31,14.12
1996-08-01,14.01
1996-08-02,14.2
1996-08-05,14.16
1996-08-06,14.3
1996-08-07,14.47
1996-08-08,14.45
1996-08-09,14.3
1996-08-12,14.3
1996-08-13,14.48
1996-08-14,14.7
1996-08-15,14.72
1996-08-16,14.88
1996-08-19,14.62
1996-08-20,14.75
1996-08-21,15.05
1996-08-22,15.35
1996-08-23,15.26
1996-08-26,15.32
1996-08-27,15.37
1996-08-28,15.5
1996-08-29,15.32
1996-08-30,15.73
1996-09-02,15.4
1996-09-03,15.6
1996-09-04,16
1996-09-05,16
1996-09-06,16.03
1996-09-09,15.71
1996-09-10,15.7
1996-09-11,15.38
1996-09-12,15
1996-09-13,15.5
1996-09-16,15
1996-09-17,15.5
1996-09-18,15.2
1996-09-19,15.2
1996-09-20,15.3
1996-09-23,17.35
1996-09-24,17.4
1996-09-25,18.88
1996-09-26,19
1996-09-27,19.18
1996-10-03,18.01
1996-10-04,18.5
1996-10-07,17.8
1996-10-08,17.8
1996-10-09,17.23
1996-10-10,17.3
1996-10-11,17.99
1996-10-14,20.6
1996-10-15,20.2
1996-10-16,20.45
1996-10-17,19.91
1996-10-18,19
1996-10-21,19.2
1996-10-22,18.95
1996-10-23,19.1
1996-10-24,19.15
1996-10-25,19.3
1996-10-28,19.95
1996-10-29,19.2
1996-10-30,18.3
1996-10-31,18.8
1996-11-01,17.8
1996-11-04,18
1996-11-05,17.8
1996-11-06,17.75
1996-11-07,17.98
1996-11-08,17.85
1996-11-11,18.09
